AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Riyaz Hebbar,27,1,A1
2,1,Nagaraj Patil,29,1,A2
3,3,Ramesh Shastri,57,1,A1
4,4,Anil Shetty,51,1,A1
5,4,Basavaraj Kumar,49,1,A2
6,4,Deepak Kumar,56,1,A3
7,6,Sunil Shastri,44,1,A1
8,6,Girish Kulkarni,25,1,A2
9,7,Shruthi Gowda,23,2,A1
10,7,Kiran Hegde,54,1,A2
11,9,Shruthi Gowda,23,2,A1
12,9,Anil Murthy,42,1,A2
13,13,Chetan Shetty,48,1,A1
14,13,Nagaraj Patil,29,1,A2
15,13,Ganesh Nayak,46,1,A3
16,15,Shivaraj Hebbar,48,1,A1
17,15,Riyaz Kumar,46,1,A2
18,15,Kavya Rai,39,2,A3
19,17,Harish Kulkarni,57,1,A1
20,17,Basavaraj Kumar,49,1,A2
21,17,Ravi Rai,29,1,A3
22,20,Sunil Shastri,44,1,A1
23,23,Nagaraj Patil,29,1,A1
24,23,Anil Rai,40,1,A2
25,24,Lakshmi Kumar,26,2,A1
26,25,Ramesh Shastri,57,1,A1
27,25,Faizal Kumar,46,1,A2
28,27,Sowmya Achar,54,2,A1
29,28,Mahesh Rai,56,1,A1
30,29,Ravi Rai,29,1,A1
31,29,Sunil Hegde,38,1,A2
32,29,Pooja Nayak,36,2,A3
33,30,Ravi Reddy,55,1,A1
34,31,Vinay Bhat,34,1,A1
35,31,Pooja Nayak,36,2,A2
36,32,Harish Murthy,19,1,A1
37,32,Harish Shastri,33,1,A2
38,32,Ramesh Shastri,57,1,A3
39,33,Roopa Rao,33,2,A1
40,33,Ramesh Patil,40,1,A2
41,34,Meena Kumar,21,2,A1
42,34,Shivaraj Achar,52,1,A2
43,35,Kavya Rai,39,2,A1
44,35,Nagaraj Patil,29,1,A2
45,35,Santosh Bhat,30,1,A3
46,36,Darshan Achar,43,1,A1
47,37,Anil Shetty,51,1,A1
48,37,Roopa Rao,33,2,A2
49,37,Sunil Shastri,44,1,A3
50,39,Meena Gowda,20,2,A1
51,39,Deepak Kumar,56,1,A2
52,40,Riyaz Nayak,39,1,A1
53,40,Darshan Rai,47,1,A2
54,42,Anil Rai,40,1,A1
55,42,Riyaz Nayak,39,1,A2
56,42,Ramesh Shastri,57,1,A3
57,43,Sunil Shastri,44,1,A1
58,43,Praveen Desai,55,1,A2
59,43,Girish Achar,48,1,A3
60,44,Anil Rai,40,1,A1
61,44,Sunil Shastri,44,1,A2
62,44,Vinay Naik,23,1,A3
63,45,Vinay Naik,23,1,A1
64,46,Divya Kumar,39,2,A1
65,46,Anil Rai,40,1,A2
66,46,Nagaraj Patil,29,1,A3
67,47,Harish Shastri,33,1,A1
68,47,Nagaraj Patil,29,1,A2
69,48,Ganesh Nayak,46,1,A1
70,49,Umesh Shastri,42,1,A1
71,50,Divya Kumar,39,2,A1
72,50,Nagaraj Patil,29,1,A2
73,52,Chetan Shetty,48,1,A1
74,53,Roopa Rao,33,2,A1
75,53,Basavaraj Reddy,58,1,A2
76,54,Faizal Reddy,21,1,A1
77,55,Praveen Desai,55,1,A1
78,55,Ravi Rai,29,1,A2
79,55,Nisha Desai,39,2,A3
80,56,Ramesh Patil,40,1,A1
81,59,Mahesh Rai,56,1,A1
82,60,Mahesh Rai,56,1,A1
83,60,Girish Achar,48,1,A2
84,60,Deepak Kumar,56,1,A3
85,61,Shivaraj Hebbar,48,1,A1
86,61,Santosh Rai,24,1,A2
87,62,Prakash Hebbar,23,1,A1
88,64,Umesh Shastri,42,1,A1
89,65,Imran Reddy,51,1,A1
90,65,Chetan Shetty,48,1,A2
91,65,Sunil Shastri,44,1,A3
92,66,Kavya Rai,39,2,A1
93,67,Shruthi Kumar,44,2,A1
94,67,Kiran Hegde,54,1,A2
95,68,Roopa Rao,33,2,A1
96,68,Basavaraj Kumar,49,1,A2
97,72,Nisha Desai,39,2,A1
98,73,Rekha Naik,23,2,A1
99,73,Anil Shetty,51,1,A2
100,73,Umesh Shastri,42,1,A3
101,74,Sunil Hegde,38,1,A1
102,74,Pooja Nayak,36,2,A2
103,75,Mahesh Rai,56,1,A1
104,75,Anil Rai,36,1,A2
105,76,Abdul Desai,23,1,A1
106,76,Ravi Rai,29,1,A2
107,77,Girish Achar,48,1,A1
108,77,Basavaraj Kumar,49,1,A2
109,77,Mahesh Patil,25,1,A3
110,78,Ganesh Nayak,46,1,A1
111,79,Harish Shastri,33,1,A1
112,80,Pooja Nayak,36,2,A1
113,81,Santosh Rai,24,1,A1
114,81,Ravi Rai,29,1,A2
115,83,Ravi Rai,29,1,A1
116,83,Meena Shastri,24,2,A2
117,83,Imran Reddy,51,1,A3
118,84,Faizal Kumar,46,1,A1
119,84,Shivaraj Achar,52,1,A2
120,86,Mahesh Hegde,58,1,A1
121,86,Lakshmi Kumar,26,2,A2
122,86,Sunil Hegde,38,1,A3
123,87,Vinay Bhat,34,1,A1
124,92,Shruthi Gowda,23,2,A1
125,92,Santosh Rai,24,1,A2
126,92,Imran Reddy,51,1,A3
127,93,Harish Murthy,19,1,A1
128,93,Prakash Bhat,22,1,A2
129,93,Ganesh Hegde,37,1,A3
130,94,Lakshmi Kumar,26,2,A1
131,94,Faizal Reddy,21,1,A2
132,95,Ganesh Hegde,37,1,A1
133,95,Mahesh Rai,56,1,A2
134,97,Riyaz Hebbar,27,1,A1
135,97,Umesh Shastri,42,1,A2
136,98,Anil Rai,36,1,A1
137,98,Mahesh Rai,56,1,A2
138,100,Yashwanth Rao,53,1,A1
139,100,Lokesh Reddy,54,1,A2
140,100,Imran Reddy,51,1,A3
141,101,Sunil Shetty,36,1,A1
142,101,Ravi Reddy,55,1,A2
143,101,Ganesh Nayak,46,1,A3
144,102,Harish Shastri,33,1,A1
145,102,Nagaraj Patil,29,1,A2
146,103,Faizal Kumar,46,1,A1
147,104,Ravi Reddy,55,1,A1
148,104,Basavaraj Kumar,49,1,A2
149,104,Umesh Shastri,42,1,A3
150,105,Basavaraj Kumar,49,1,A1
151,106,Abdul Shetty,58,1,A1
152,107,Ramesh Shastri,57,1,A1
153,108,Prakash Hebbar,23,1,A1
154,108,Girish Achar,48,1,A2
155,109,Nagaraj Patil,29,1,A1
156,110,Prakash Hebbar,23,1,A1
157,110,Riyaz Hebbar,27,1,A2
158,111,Mahesh Rai,56,1,A1
159,111,Sunil Shastri,44,1,A2
160,111,Lokesh Reddy,54,1,A3
161,112,Mahesh Patil,25,1,A1
162,114,Nisha Desai,39,2,A1
163,115,Lakshmi Kumar,26,2,A1
164,115,Sunil Shetty,36,1,A2
165,115,Pooja Nayak,36,2,A3
166,116,Harish Murthy,19,1,A1
167,116,Ramesh Shastri,57,1,A2
168,118,Mahesh Rai,56,1,A1
169,119,Vinay Naik,23,1,A1
170,119,Faizal Kumar,46,1,A2
171,120,Ravi Rai,29,1,A1
172,120,Sunil Hegde,38,1,A2
173,121,Harish Murthy,19,1,A1
174,122,Mahesh Murthy,58,1,A1
175,123,Chetan Shetty,48,1,A1
176,123,Chetan Desai,41,1,A2
177,124,Ramesh Patil,40,1,A1
178,124,Chetan Shetty,48,1,A2
179,124,Chetan Desai,41,1,A3
180,126,Shruthi Kumar,44,2,A1
181,126,Ramesh Shastri,57,1,A2
182,127,Shruthi Kumar,44,2,A1
183,130,Imran Reddy,51,1,A1
184,130,Deepak Kumar,56,1,A2
185,130,Ravi Rai,29,1,A3
186,132,Chetan Shetty,48,1,A1
187,133,Divya Kumar,39,2,A1
188,133,Anil Rai,40,1,A2
189,133,Chetan Shetty,48,1,A3
190,134,Harish Shastri,33,1,A1
191,138,Shruthi Gowda,23,2,A1
192,139,Chetan Desai,41,1,A1
193,139,Deepak Kumar,56,1,A2
194,140,Shruthi Kumar,44,2,A1
195,140,Faizal Kumar,46,1,A2
196,141,Riyaz Shetty,20,1,A1
197,141,Ramesh Patil,40,1,A2
198,142,Sunil Shastri,44,1,A1
199,142,Anil Murthy,42,1,A2
200,144,Imran Reddy,51,1,A1
201,147,Ganesh Reddy,31,1,A1
202,147,Chetan Shetty,48,1,A2
203,147,Ganesh Nayak,46,1,A3
204,148,Sunil Shetty,36,1,A1
205,148,Mahesh Hegde,58,1,A2
206,148,Imran Reddy,51,1,A3
207,149,Santosh Rai,24,1,A1
208,150,Girish Kulkarni,25,1,A1
209,151,Shivaraj Achar,52,1,A1
210,151,Mahesh Murthy,58,1,A2
211,154,Ramesh Patil,40,1,A1
212,154,Roopa Rao,33,2,A2
213,154,Chetan Desai,41,1,A3
214,155,Anil Rai,40,1,A1
215,155,Ganesh Reddy,31,1,A2
216,155,Nagaraj Patil,29,1,A3
217,156,Anil Shetty,51,1,A1
218,158,Prakash Bhat,22,1,A1
219,158,Chetan Shetty,48,1,A2
220,158,Anil Shetty,51,1,A3
221,159,Kavya Rai,39,2,A1
222,159,Chetan Shetty,48,1,A2
223,160,Mahesh Patil,25,1,A1
224,161,Kavya Rai,39,2,A1
225,161,Santosh Rai,24,1,A2
226,162,Chetan Shetty,48,1,A1
227,162,Shivaraj Hebbar,48,1,A2
228,162,Prakash Hebbar,23,1,A3
229,163,Kavya Rai,39,2,A1
230,163,Harish Kulkarni,57,1,A2
231,165,Shruthi Gowda,23,2,A1
232,166,Mahesh Hegde,58,1,A1
233,166,Rekha Naik,23,2,A2
234,167,Ganesh Hegde,37,1,A1
235,168,Nagaraj Patil,29,1,A1
236,168,Girish Kulkarni,25,1,A2
237,168,Anil Shetty,51,1,A3
