ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Roopa Nayak,21,5,3,1,2
2,2,Anil Poojary,28,8,5,3,1
3,3,Pooja Shastri,41,3,6,3,2
4,3,Geetha Patil,50,7,6,4,2
5,4,Bhavya Naik,58,9,2,4,2
6,6,Praveen Gowda,44,5,2,5,1
7,6,Kavya Desai,30,9,2,5,2
8,9,Pooja Achar,58,4,6,1,2
9,9,Kumar Poojary,66,1,4,1,1
10,10,Geetha Reddy,44,9,5,5,2
11,10,Lokesh Nayak,69,10,1,5,1
12,11,Kavya Kumar,52,4,1,5,2
13,13,Santosh Reddy,69,8,6,3,1
14,13,Anil Rao,53,9,5,3,1
15,14,Riyaz Bhat,38,8,1,5,1
16,14,Meena Kumar,58,8,6,5,2
17,15,Darshan Hebbar,26,4,4,4,1
18,15,Mahesh Shastri,56,6,6,4,1
19,16,Asha Shetty,32,3,5,5,2
20,16,Rekha Kumar,43,10,2,3,2
21,18,Kavya Achar,43,9,5,5,2
22,18,Harish Rai,63,9,6,5,1
23,19,Shruthi Achar,61,5,3,5,2
24,19,Sunil Murthy,25,10,5,3,1
25,20,Vinay Achar,40,6,1,4,1
26,20,Meena Shetty,57,7,1,2,2
27,21,Asha Poojary,19,8,3,5,2
28,22,Roopa Hebbar,49,7,4,2,2
29,23,Divya Poojary,36,7,1,4,2
30,23,Shruthi Murthy,56,3,2,3,2
31,24,Pooja Hebbar,32,8,6,5,2
32,24,Shruthi Shastri,66,2,3,2,2
33,26,Sunil Shetty,37,8,4,1,1
34,27,Umesh Poojary,63,4,3,1,1
35,27,Faizal Hebbar,41,8,4,5,1
36,29,Imran Patil,69,2,6,4,1
37,29,Faizal Nayak,23,5,6,1,1
38,30,Shruthi Achar,23,7,1,2,2
39,30,Imran Shetty,52,9,2,5,1
40,33,Rekha Rao,44,4,6,3,2
41,35,Meena Desai,30,3,1,1,2
42,35,Abdul Naik,48,5,2,3,1
43,36,Umesh Hegde,34,7,1,2,1
44,37,Ravi Reddy,69,5,3,5,1
45,37,Harish Achar,54,5,3,4,1
46,38,Vinay Kumar,33,4,1,2,1
47,38,Faizal Desai,64,4,2,3,1
48,39,Abdul Hebbar,67,3,6,5,1
49,39,Shruthi Desai,22,9,2,3,2
50,40,Kavya Achar,33,3,4,5,2
51,41,Geetha Naik,60,8,3,5,2
52,42,Santosh Desai,36,5,6,5,1
53,43,Riyaz Hebbar,61,5,5,5,1
54,43,Vidya Hegde,35,8,5,2,2
55,44,Shruthi Shetty,49,4,3,2,2
56,44,Shruthi Murthy,33,7,6,5,2
57,45,Darshan Desai,52,3,6,2,1
58,45,Yashwanth Nayak,63,3,3,1,1
59,46,Vidya Patil,62,3,6,4,2
60,47,Deepak Shetty,47,2,5,5,1
61,48,Umesh Hebbar,49,3,3,4,1
62,48,Shruthi Rao,38,1,4,1,2
63,49,Basavaraj Hebbar,26,8,4,5,1
64,49,Rekha Bhat,50,8,6,4,2
65,50,Basavaraj Desai,42,6,2,3,1
66,50,Umesh Bhat,65,6,1,4,1
67,51,Suresh Patil,34,8,4,3,1
68,52,Deepak Shetty,48,10,5,5,1
69,53,Kavya Poojary,67,7,6,5,2
70,53,Sunil Shastri,48,2,1,1,1
71,55,Abdul Murthy,69,2,6,5,1
72,56,Sunil Bhat,53,7,2,1,1
73,56,Faizal Murthy,34,9,3,4,1
74,57,Suresh Gowda,60,8,1,2,1
75,57,Faizal Kulkarni,21,6,3,5,1
76,59,Meena Reddy,41,5,6,5,2
77,59,Riyaz Poojary,50,6,4,4,1
78,60,Basavaraj Rai,41,2,2,3,1
79,60,Ananya Hegde,40,2,5,4,2
80,61,Kiran Rao,18,1,4,5,1
81,62,Ramesh Desai,68,8,5,3,1
82,63,Riyaz Gowda,29,8,4,2,1
83,63,Nisha Poojary,64,2,5,3,2
84,64,Rekha Rao,58,7,6,4,2
85,64,Geetha Shastri,23,1,2,5,2
86,65,Roopa Naik,24,1,4,4,2
87,66,Praveen Kumar,55,6,2,1,1
88,66,Harish Bhat,59,8,3,3,1
89,67,Geetha Nayak,70,4,4,1,2
90,68,Rekha Achar,47,10,6,2,2
91,68,Pooja Achar,49,6,2,4,2
92,69,Anil Rao,47,3,5,1,1
93,70,Lakshmi Poojary,34,5,2,4,2
94,70,Pooja Shastri,30,9,4,1,2
95,71,Umesh Shetty,39,4,6,4,1
96,71,Sunil Poojary,63,9,6,3,1
97,72,Lakshmi Bhat,66,6,3,5,2
98,73,Manjunath Shastri,70,9,4,1,1
99,75,Riyaz Desai,42,3,4,3,1
100,76,Shruthi Reddy,60,9,2,2,2
101,76,Suresh Hegde,54,4,2,3,1
102,78,Shruthi Patil,54,6,6,2,2
103,78,Sunil Shastri,48,10,2,2,1
104,79,Darshan Shetty,43,8,4,4,1
105,79,Naveen Rai,49,10,2,5,1
106,80,Shivaraj Achar,34,4,2,5,1
107,80,Divya Reddy,67,6,4,4,2
108,81,Bhavya Patil,28,3,1,5,2
109,81,Ganesh Rai,56,6,5,2,1
110,82,Divya Rai,39,2,4,3,2
111,82,Riyaz Rai,54,1,6,3,1
112,83,Ravi Murthy,19,4,2,3,1
113,83,Meena Reddy,65,4,6,4,2
114,84,Divya Gowda,58,5,4,4,2
115,84,Harish Nayak,49,8,6,1,1
116,85,Deepak Poojary,49,7,2,4,1
117,85,Sowmya Murthy,50,2,1,5,2
118,87,Ananya Kulkarni,20,2,1,3,2
119,87,Suresh Nayak,64,6,5,1,1
120,89,Kavya Bhat,53,9,3,1,2
