EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,401,1,5,1,KGID210009,Darshan Shastri,1989-03-09,1,4,0,2002-01-18
2,401,1,6,2,KGID210017,Nagaraj Murthy,1992-07-06,1,4,0,2002-05-01
3,401,1,8,4,KGID210026,Kumar Gowda,2001-05-10,1,2,0,2002-07-18
4,401,2,5,1,KGID210034,Chetan Kumar,1981-05-07,1,5,0,2004-02-28
5,401,2,6,2,KGID210043,Deepak Hebbar,1988-08-27,1,5,0,2006-02-23
6,401,2,8,4,KGID210047,Ravi Hegde,1990-06-21,1,7,0,2004-08-20
7,402,3,5,1,KGID210053,Umesh Naik,1998-08-31,1,2,0,2005-07-31
8,402,3,6,2,KGID210062,Abdul Patil,1997-02-25,1,4,0,2007-05-19
9,402,3,8,4,KGID210070,Suresh Murthy,1995-10-23,1,8,0,2007-03-31
10,402,4,5,1,KGID210073,Nagaraj Nayak,1996-12-10,1,2,0,2022-04-18
11,402,4,6,2,KGID210081,Riyaz Reddy,1992-07-13,1,7,0,2018-03-15
12,402,4,8,4,KGID210088,Prakash Kumar,1979-08-26,1,3,0,2011-08-20
13,403,5,5,1,KGID210096,Rekha Rao,1977-05-20,2,7,0,2009-01-03
14,403,5,6,2,KGID210101,Santosh Patil,2000-07-27,1,1,0,2015-04-23
15,403,5,8,4,KGID210108,Divya Reddy,1985-09-28,2,5,0,2012-06-25
16,403,6,5,1,KGID210114,Imran Murthy,2000-02-13,1,4,0,2008-11-01
17,403,6,6,2,KGID210118,Praveen Murthy,1980-05-16,1,2,0,2009-11-05
18,403,6,8,4,KGID210121,Manjunath Shetty,1998-05-18,1,4,0,2002-12-21
19,404,7,5,1,KGID210125,Naveen Hebbar,1977-06-22,1,5,0,2016-12-01
20,404,7,6,2,KGID210128,Ganesh Kumar,1988-06-04,1,5,0,2016-11-21
21,404,7,8,4,KGID210133,Praveen Reddy,1998-06-19,1,4,0,2020-12-03
22,404,8,5,1,KGID210136,Darshan Shetty,1983-10-29,1,3,0,2010-06-22
23,404,8,6,2,KGID210145,Naveen Kulkarni,1985-01-14,1,7,0,2020-09-28
24,404,8,8,4,KGID210153,Yashwanth Rao,1990-06-23,1,2,0,2010-08-25
25,405,9,5,1,KGID210161,Girish Reddy,1996-03-06,1,6,0,2006-04-04
26,405,9,6,2,KGID210169,Ganesh Kumar,1993-07-07,1,5,0,2010-03-13
27,405,9,8,4,KGID210177,Ramesh Bhat,1989-03-20,1,4,0,2019-07-27
28,405,10,5,1,KGID210180,Sunil Gowda,1994-12-30,1,2,0,2008-02-14
29,405,10,6,2,KGID210183,Anil Rao,1989-04-28,1,7,0,2015-02-05
30,405,10,8,4,KGID210192,Lokesh Naik,1999-09-12,1,7,0,2021-05-26
31,406,11,5,1,KGID210201,Chetan Murthy,1992-07-16,1,3,0,2002-12-18
32,406,11,6,2,KGID210208,Prakash Hebbar,1979-06-19,1,4,0,2017-07-26
33,406,11,8,4,KGID210214,Pooja Patil,1995-07-30,2,2,0,2010-03-16
34,406,12,5,1,KGID210217,Anil Kulkarni,1994-04-19,1,2,0,2005-12-06
35,406,12,6,2,KGID210224,Deepak Kumar,2001-02-14,1,6,0,2004-12-06
36,406,12,8,4,KGID210227,Prakash Bhat,1979-05-10,1,2,0,2014-07-25
37,407,13,5,1,KGID210234,Vidya Rai,1991-02-26,2,2,0,2007-07-20
38,407,13,6,2,KGID210240,Nisha Murthy,1990-04-09,2,8,0,2010-06-13
39,407,13,8,4,KGID210244,Ramesh Kumar,1995-06-24,1,7,0,2017-09-24
40,407,14,5,1,KGID210249,Deepak Naik,1992-03-14,1,4,0,2017-11-14
41,407,14,6,2,KGID210252,Kiran Desai,1992-10-19,1,6,0,2013-11-10
42,407,14,8,4,KGID210259,Riyaz Bhat,1992-07-03,1,7,0,2014-11-19
43,408,15,5,1,KGID210266,Kiran Bhat,1982-03-16,1,5,0,2006-12-02
44,408,15,6,2,KGID210271,Kavya Shetty,1999-03-31,2,7,0,2002-10-13
