id,number,carrier,owner_criminal_id
1,+91 9660509602,BSNL,1
2,+91 9664858079,Jio,2
3,+91 9322963286,Airtel,3
4,+91 9348934286,BSNL,3
5,+91 9518399419,BSNL,4
6,+91 9497115009,BSNL,4
7,+91 9168944335,BSNL,5
8,+91 9156740766,BSNL,6
9,+91 9130834810,Airtel,6
10,+91 9591028266,Jio,7
11,+91 9782132374,Jio,8
12,+91 9926573793,Jio,9
13,+91 9422816492,Vi,10
14,+91 9134483115,Jio,11
15,+91 9705369244,BSNL,12
16,+91 9898455870,Airtel,13
17,+91 9153462192,BSNL,13
18,+91 9427937863,BSNL,14
19,+91 9462431903,Vi,14
20,+91 9301131711,Vi,15
21,+91 9180177704,Jio,16
22,+91 9314347852,Jio,16
23,+91 9163248448,Airtel,17
24,+91 9311596043,BSNL,17
25,+91 9122396773,BSNL,18
26,+91 9720244230,Airtel,19
27,+91 9564561972,Airtel,20
28,+91 9853287834,BSNL,21
29,+91 9433330535,Vi,22
30,+91 9214268047,Vi,22
31,+91 9479529376,Vi,23
32,+91 9868538420,Vi,23
33,+91 9761640360,Vi,24
34,+91 9717245481,BSNL,25
35,+91 9930335155,Vi,26
36,+91 9640145519,BSNL,27
37,+91 9291761959,Vi,27
38,+91 9736217344,BSNL,28
39,+91 9540132024,Jio,29
40,+91 9919679427,BSNL,29
41,+91 9668110729,BSNL,30
42,+91 9863084063,Vi,30
43,+91 9851454124,Vi,31
44,+91 9718129695,Vi,32
45,+91 9260424877,Airtel,32
46,+91 9823983279,Airtel,33
47,+91 9865617436,Vi,34
48,+91 9296124112,Jio,35
49,+91 9225798365,Airtel,36
50,+91 9285913138,BSNL,36
51,+91 9462458715,Jio,37
52,+91 9411915001,Jio,38
53,+91 9415041048,Vi,38
54,+91 9134625247,Jio,39
55,+91 9495489946,Airtel,40
56,+91 9920374598,Airtel,41
57,+91 9597074061,Jio,41
58,+91 9524596920,BSNL,42
59,+91 9278264175,Vi,43
60,+91 9129878767,Vi,43
61,+91 9860021546,Jio,44
62,+91 9809908870,Airtel,45
63,+91 9576194915,Vi,46
64,+91 9106965124,Airtel,47
65,+91 9869734940,Jio,48
66,+91 9185689720,Vi,48
67,+91 9534312327,Airtel,49
68,+91 9587313938,Jio,50
69,+91 9489104825,BSNL,50
70,+91 9655514929,Jio,51
71,+91 9547748332,Airtel,51
72,+91 9855378174,Airtel,52
73,+91 9123494991,Airtel,53
74,+91 9451113181,Vi,54
75,+91 9796061772,Airtel,55
76,+91 9151009911,Vi,55
77,+91 9364933195,BSNL,56
78,+91 9881539433,Airtel,57
79,+91 9871040483,BSNL,58
80,+91 9483326777,Jio,59
81,+91 9804032461,BSNL,60
82,+91 9444258043,Airtel,61
83,+91 9525209611,Airtel,61
84,+91 9199898806,Jio,62
85,+91 9868354527,BSNL,62
86,+91 9872501794,Vi,63
87,+91 9693591846,Airtel,63
88,+91 9406475757,Airtel,64
89,+91 9403046126,Airtel,65
90,+91 9551773862,BSNL,66
91,+91 9506540185,Vi,66
92,+91 9164549580,Jio,67
93,+91 9742396794,Vi,68
94,+91 9733566737,Jio,69
95,+91 9220032672,Airtel,70
