VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,2,Meena Murthy,58,2,0
2,3,Pooja Murthy,60,2,0
3,3,Asha Rai,63,2,0
4,4,Roopa Desai,38,2,0
5,4,Praveen Naik,18,1,0
6,5,Bhavya Reddy,30,2,0
7,5,Pooja Bhat,48,2,0
8,8,Suresh Shastri,61,1,0
9,9,Darshan Hegde,64,1,0
10,10,Chetan Shetty,47,1,0
11,11,Ramesh Desai,70,1,0
12,11,Divya Hegde,64,2,0
13,12,Rekha Gowda,26,2,0
14,13,Ananya Kulkarni,62,2,0
15,14,Harish Murthy,54,1,0
16,15,Vidya Gowda,41,2,0
17,15,Divya Hegde,48,2,0
18,16,Ananya Naik,23,2,0
19,16,Deepak Shastri,23,1,0
20,17,Geetha Rai,44,2,0
21,18,Ravi Hebbar,18,1,0
22,18,Faizal Kulkarni,58,1,0
23,19,Nagaraj Shastri,34,1,0
24,21,Manjunath Bhat,21,1,1
25,21,Darshan Hegde,38,1,0
26,24,Suresh Desai,49,1,0
27,25,Riyaz Bhat,58,1,0
28,26,Anil Kulkarni,42,1,0
29,26,Suresh Desai,29,1,0
30,27,Asha Kulkarni,23,2,0
31,28,Meena Reddy,54,2,0
32,29,Mahesh Shetty,59,1,0
33,29,Nagaraj Murthy,28,1,0
34,30,Yashwanth Achar,37,1,0
35,32,Sowmya Patil,28,2,0
36,32,Kavya Naik,42,2,0
37,33,Vinay Nayak,45,1,0
38,34,Sowmya Rao,23,2,0
39,34,Asha Gowda,31,2,0
40,35,Shruthi Shastri,20,2,0
41,35,Mahesh Hegde,40,1,0
42,36,Nisha Poojary,32,2,0
43,37,Nisha Nayak,28,2,0
44,38,Imran Reddy,39,1,0
45,38,Sowmya Rao,42,2,0
46,39,Mahesh Reddy,48,1,0
47,39,Divya Naik,46,2,0
48,40,Asha Gowda,23,2,0
49,40,Nisha Desai,35,2,0
50,41,Prakash Rao,23,1,0
51,42,Faizal Patil,54,1,0
52,42,Santosh Patil,41,1,0
53,43,Kavya Kumar,67,2,0
54,43,Sowmya Patil,21,2,0
55,45,Girish Reddy,22,1,0
56,45,Divya Kulkarni,69,2,0
57,46,Prakash Poojary,63,1,0
58,46,Kumar Rao,32,1,0
59,48,Santosh Rao,52,1,0
60,49,Imran Achar,47,1,0
61,51,Imran Shetty,33,1,0
62,52,Ananya Naik,26,2,0
63,52,Chetan Nayak,63,1,0
64,53,Umesh Kumar,23,1,0
65,56,Vidya Hegde,46,2,0
66,56,Shivaraj Naik,49,1,0
67,57,Umesh Reddy,46,1,0
68,58,Chetan Naik,21,1,0
69,59,Anil Rai,40,1,0
70,59,Kiran Shastri,20,1,0
71,60,Chetan Bhat,29,1,0
72,61,Nisha Kumar,19,2,0
73,62,Ramesh Gowda,62,1,0
74,62,Kavya Desai,55,2,0
75,63,Roopa Bhat,25,2,0
76,64,Rekha Hegde,54,2,0
77,66,Ananya Naik,70,2,0
78,67,Anil Poojary,26,1,0
79,67,Ravi Patil,54,1,0
80,68,Lokesh Kumar,37,1,0
81,68,Darshan Patil,36,1,0
82,69,Riyaz Murthy,36,1,0
83,70,Kavya Hegde,63,2,0
84,70,Basavaraj Hegde,22,1,0
85,71,Bhavya Murthy,68,2,0
86,72,Pooja Shastri,70,2,0
87,73,Roopa Patil,50,2,0
88,74,Geetha Kulkarni,43,2,0
89,75,Sowmya Murthy,56,2,0
90,76,Divya Bhat,48,2,0
91,76,Ganesh Rai,65,1,0
92,77,Sunil Kumar,69,1,0
93,79,Deepak Nayak,56,1,0
94,80,Divya Murthy,20,2,0
95,82,Rekha Kulkarni,46,2,0
96,82,Geetha Rai,35,2,0
97,84,Kumar Hegde,58,1,0
98,84,Deepak Hebbar,67,1,0
99,85,Umesh Bhat,36,1,0
100,85,Imran Achar,27,1,0
101,87,Lakshmi Shetty,69,2,0
102,87,Chetan Rai,18,1,1
103,88,Nagaraj Achar,54,1,0
104,89,Suresh Hegde,41,1,0
105,90,Kumar Kulkarni,28,1,0
106,91,Vidya Murthy,24,2,0
107,91,Kavya Patil,56,2,0
108,92,Bhavya Murthy,25,2,0
109,93,Kavya Desai,26,2,0
110,94,Mahesh Rao,19,1,0
111,95,Rekha Bhat,25,2,0
112,96,Ravi Patil,25,1,0
113,96,Lakshmi Shastri,29,2,0
114,98,Riyaz Bhat,52,1,1
115,99,Roopa Desai,28,2,0
116,101,Abdul Kulkarni,52,1,0
117,102,Shruthi Reddy,45,2,0
118,103,Anil Shastri,20,1,0
119,105,Kavya Shastri,51,2,0
120,106,Darshan Naik,66,1,0
121,106,Manjunath Shastri,38,1,0
122,107,Sowmya Kumar,21,2,0
123,107,Kiran Kulkarni,55,1,0
124,108,Suresh Kulkarni,21,1,0
125,109,Geetha Desai,59,2,0
126,109,Lokesh Kumar,26,1,0
127,110,Ganesh Kumar,22,1,0
128,112,Vinay Patil,38,1,0
129,113,Deepak Rai,58,1,0
130,113,Shruthi Rao,59,2,0
131,114,Roopa Hebbar,58,2,0
132,114,Lokesh Rao,42,1,0
133,115,Praveen Nayak,68,1,0
134,117,Praveen Nayak,30,1,0
135,117,Abdul Shastri,47,1,0
136,119,Deepak Bhat,63,1,0
137,120,Santosh Kumar,22,1,0
138,120,Vidya Poojary,20,2,0
139,121,Yashwanth Gowda,50,1,0
140,122,Deepak Hebbar,69,1,0
141,122,Geetha Reddy,32,2,0
142,123,Kumar Murthy,52,1,0
143,123,Suresh Murthy,60,1,0
144,124,Geetha Poojary,42,2,0
145,125,Vinay Kulkarni,56,1,0
146,126,Kumar Reddy,19,1,0
147,127,Lokesh Patil,25,1,0
148,128,Girish Desai,60,1,1
149,128,Darshan Reddy,61,1,0
150,130,Pooja Rao,55,2,0
151,130,Vinay Shastri,67,1,0
152,132,Asha Patil,36,2,0
153,133,Sowmya Hebbar,33,2,0
154,133,Lakshmi Patil,68,2,0
155,134,Santosh Patil,54,1,0
156,135,Pooja Patil,38,2,0
157,136,Darshan Gowda,67,1,0
158,137,Meena Murthy,70,2,0
159,138,Asha Naik,40,2,0
160,139,Ramesh Rao,45,1,0
161,140,Rekha Murthy,26,2,0
162,141,Meena Bhat,51,2,0
163,141,Lokesh Achar,42,1,0
164,142,Shruthi Patil,25,2,0
165,142,Kiran Kumar,24,1,0
166,143,Manjunath Poojary,30,1,0
167,143,Asha Murthy,65,2,0
168,144,Bhavya Nayak,47,2,0
169,146,Imran Kulkarni,22,1,0
170,147,Abdul Poojary,43,1,0
171,147,Umesh Hegde,26,1,0
172,149,Sowmya Nayak,57,2,0
173,149,Meena Kulkarni,65,2,0
174,150,Sowmya Murthy,68,2,0
175,150,Kiran Kulkarni,52,1,0
176,151,Bhavya Shastri,48,2,0
177,151,Imran Reddy,24,1,0
178,152,Ananya Shetty,32,2,0
179,153,Girish Rai,65,1,1
180,153,Prakash Hegde,43,1,0
181,154,Naveen Desai,39,1,0
182,154,Deepak Rao,52,1,0
183,155,Faizal Hebbar,40,1,0
184,155,Lokesh Bhat,62,1,0
185,156,Kavya Kumar,61,2,0
186,156,Divya Poojary,21,2,0
187,157,Lakshmi Naik,58,2,0
188,158,Anil Reddy,60,1,0
189,160,Sunil Nayak,19,1,0
190,161,Basavaraj Gowda,26,1,0
191,161,Bhavya Hebbar,18,2,0
192,162,Harish Rao,24,1,0
193,164,Imran Reddy,57,1,0
194,164,Pooja Desai,29,2,0
195,166,Deepak Bhat,18,1,0
196,167,Nagaraj Kulkarni,66,1,0
197,169,Kavya Gowda,42,2,0
198,169,Yashwanth Achar,61,1,0
199,170,Kavya Bhat,33,2,0
200,170,Roopa Kulkarni,27,2,0
201,171,Riyaz Rao,22,1,0
202,171,Faizal Desai,28,1,0
203,172,Yashwanth Desai,56,1,0
204,173,Chetan Murthy,20,1,0
205,175,Abdul Rao,27,1,0
206,176,Geetha Hebbar,48,2,0
207,176,Nisha Gowda,65,2,0
208,177,Ravi Hegde,65,1,0
209,178,Praveen Reddy,69,1,0
210,179,Bhavya Naik,19,2,0
211,181,Nagaraj Desai,43,1,0
212,183,Bhavya Desai,57,2,0
213,183,Ananya Shastri,33,2,0
214,184,Anil Hebbar,57,1,0
215,184,Geetha Reddy,39,2,0
216,185,Mahesh Hebbar,66,1,0
217,186,Suresh Bhat,36,1,0
218,187,Prakash Desai,70,1,0
219,188,Yashwanth Patil,42,1,0
220,188,Rekha Kumar,70,2,0
221,189,Basavaraj Murthy,40,1,0
222,191,Ananya Poojary,58,2,0
223,193,Divya Bhat,70,2,0
224,193,Shruthi Reddy,45,2,0
225,196,Sowmya Kumar,39,2,0
226,198,Nisha Shetty,53,2,0
227,198,Nagaraj Rai,65,1,0
228,199,Asha Gowda,41,2,0
229,201,Rekha Rai,38,2,0
230,202,Bhavya Rai,59,2,0
231,203,Ananya Shastri,37,2,0
232,205,Santosh Rao,19,1,0
233,205,Praveen Kumar,60,1,0
234,206,Pooja Murthy,64,2,0
235,206,Abdul Reddy,50,1,0
236,207,Ravi Achar,51,1,0
237,208,Ramesh Patil,48,1,0
238,209,Vidya Shastri,54,2,0
239,209,Shivaraj Kumar,31,1,0
240,211,Girish Desai,22,1,0
241,211,Yashwanth Naik,64,1,0
242,212,Ravi Hegde,70,1,0
243,213,Kiran Rai,37,1,0
244,214,Lakshmi Desai,28,2,1
245,214,Ramesh Poojary,63,1,0
246,215,Lakshmi Rai,62,2,0
247,216,Darshan Shetty,52,1,0
248,216,Lakshmi Gowda,61,2,0
249,217,Divya Patil,59,2,0
