id,fir_id,name,gender,age
1,2,Meena Murthy,F,58
2,3,Pooja Murthy,F,60
3,3,Asha Rai,F,63
4,4,Roopa Desai,F,38
5,4,Praveen Naik,M,18
6,5,Bhavya Reddy,F,30
7,5,Pooja Bhat,F,48
8,8,Suresh Shastri,M,61
9,9,Darshan Hegde,M,64
10,10,Chetan Shetty,M,47
11,11,Ramesh Desai,M,70
12,11,Divya Hegde,F,64
13,12,Rekha Gowda,F,26
14,13,Ananya Kulkarni,F,62
15,14,Harish Murthy,M,54
16,15,Vidya Gowda,F,41
17,15,Divya Hegde,F,48
18,16,Ananya Naik,F,23
19,16,Deepak Shastri,M,23
20,17,Geetha Rai,F,44
21,18,Ravi Hebbar,M,18
22,18,Faizal Kulkarni,M,58
23,19,Nagaraj Shastri,M,34
24,21,Manjunath Bhat,M,21
25,21,Darshan Hegde,M,38
26,24,Suresh Desai,M,49
27,25,Riyaz Bhat,M,58
28,26,Anil Kulkarni,M,42
29,26,Suresh Desai,M,29
30,27,Asha Kulkarni,F,23
31,28,Meena Reddy,F,54
32,29,Mahesh Shetty,M,59
33,29,Nagaraj Murthy,M,28
34,30,Yashwanth Achar,M,37
35,32,Sowmya Patil,F,28
36,32,Kavya Naik,F,42
37,33,Vinay Nayak,M,45
38,34,Sowmya Rao,F,23
39,34,Asha Gowda,F,31
40,35,Shruthi Shastri,F,20
41,35,Mahesh Hegde,M,40
42,36,Nisha Poojary,F,32
43,37,Nisha Nayak,F,28
44,38,Imran Reddy,M,39
45,38,Sowmya Rao,F,42
46,39,Mahesh Reddy,M,48
47,39,Divya Naik,F,46
48,40,Asha Gowda,F,23
49,40,Nisha Desai,F,35
50,41,Prakash Rao,M,23
51,42,Faizal Patil,M,54
52,42,Santosh Patil,M,41
53,43,Kavya Kumar,F,67
54,43,Sowmya Patil,F,21
55,45,Girish Reddy,M,22
56,45,Divya Kulkarni,F,69
57,46,Prakash Poojary,M,63
58,46,Kumar Rao,M,32
59,48,Santosh Rao,M,52
60,49,Imran Achar,M,47
61,51,Imran Shetty,M,33
62,52,Ananya Naik,F,26
63,52,Chetan Nayak,M,63
64,53,Umesh Kumar,M,23
65,56,Vidya Hegde,F,46
66,56,Shivaraj Naik,M,49
67,57,Umesh Reddy,M,46
68,58,Chetan Naik,M,21
69,59,Anil Rai,M,40
70,59,Kiran Shastri,M,20
71,60,Chetan Bhat,M,29
72,61,Nisha Kumar,F,19
73,62,Ramesh Gowda,M,62
74,62,Kavya Desai,F,55
75,63,Roopa Bhat,F,25
76,64,Rekha Hegde,F,54
77,66,Ananya Naik,F,70
78,67,Anil Poojary,M,26
79,67,Ravi Patil,M,54
80,68,Lokesh Kumar,M,37
81,68,Darshan Patil,M,36
82,69,Riyaz Murthy,M,36
83,70,Kavya Hegde,F,63
84,70,Basavaraj Hegde,M,22
85,71,Bhavya Murthy,F,68
86,72,Pooja Shastri,F,70
87,73,Roopa Patil,F,50
88,74,Geetha Kulkarni,F,43
89,75,Sowmya Murthy,F,56
90,76,Divya Bhat,F,48
91,76,Ganesh Rai,M,65
92,77,Sunil Kumar,M,69
93,79,Deepak Nayak,M,56
94,80,Divya Murthy,F,20
95,82,Rekha Kulkarni,F,46
96,82,Geetha Rai,F,35
97,84,Kumar Hegde,M,58
98,84,Deepak Hebbar,M,67
99,85,Umesh Bhat,M,36
100,85,Imran Achar,M,27
101,87,Lakshmi Shetty,F,69
102,87,Chetan Rai,M,18
103,88,Nagaraj Achar,M,54
104,89,Suresh Hegde,M,41
105,90,Kumar Kulkarni,M,28
106,91,Vidya Murthy,F,24
107,91,Kavya Patil,F,56
108,92,Bhavya Murthy,F,25
109,93,Kavya Desai,F,26
110,94,Mahesh Rao,M,19
111,95,Rekha Bhat,F,25
112,96,Ravi Patil,M,25
113,96,Lakshmi Shastri,F,29
114,98,Riyaz Bhat,M,52
115,99,Roopa Desai,F,28
116,101,Abdul Kulkarni,M,52
117,102,Shruthi Reddy,F,45
118,103,Anil Shastri,M,20
119,105,Kavya Shastri,F,51
120,106,Darshan Naik,M,66
121,106,Manjunath Shastri,M,38
122,107,Sowmya Kumar,F,21
123,107,Kiran Kulkarni,M,55
124,108,Suresh Kulkarni,M,21
125,109,Geetha Desai,F,59
126,109,Lokesh Kumar,M,26
127,110,Ganesh Kumar,M,22
128,112,Vinay Patil,M,38
129,113,Deepak Rai,M,58
130,113,Shruthi Rao,F,59
131,114,Roopa Hebbar,F,58
132,114,Lokesh Rao,M,42
133,115,Praveen Nayak,M,68
134,117,Praveen Nayak,M,30
135,117,Abdul Shastri,M,47
136,119,Deepak Bhat,M,63
137,120,Santosh Kumar,M,22
138,120,Vidya Poojary,F,20
139,121,Yashwanth Gowda,M,50
140,122,Deepak Hebbar,M,69
141,122,Geetha Reddy,F,32
142,123,Kumar Murthy,M,52
143,123,Suresh Murthy,M,60
144,124,Geetha Poojary,F,42
145,125,Vinay Kulkarni,M,56
146,126,Kumar Reddy,M,19
